Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1961,1961,m3,7113429.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1962,1962,m3,7195383.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1963,1963,m3,7273619.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1964,1964,m3,7360569.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1965,1965,m3,7446612.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1966,1966,m3,7534012.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1967,1967,m3,7621759.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1968,1968,m3,7710405.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1969,1969,m3,7800683.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1970,1970,m3,7890833.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1971,1971,m3,8044369.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1972,1972,m3,8136667.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1973,1973,m3,8230365.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1974,1974,m3,8348331.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1975,1975,m3,8462553.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1976,1976,m3,8598194.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",1977,1977,m3,8741890.0,F,FAO estimate
