Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FO,Forestry Production and Trade,138,Mexico,5516,Production,1627,"Wood fuel, coniferous (production)",2015,2015,m3,1.1658551E7,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1628,"Wood fuel, non-coniferous (production)",2015,2015,m3,2.7197687E7,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5616,Import Quantity,1629,"Wood fuel, all species (export/import)",2015,2015,m3,449.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5622,Import Value,1629,"Wood fuel, all species (export/import)",2015,2015,1000 US$,49.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5916,Export Quantity,1629,"Wood fuel, all species (export/import)",2015,2015,m3,9608.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5922,Export Value,1629,"Wood fuel, all species (export/import)",2015,2015,1000 US$,1253.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5616,Import Quantity,1651,"Industrial roundwood, coniferous (export/import)",2015,2015,m3,85407.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5622,Import Value,1651,"Industrial roundwood, coniferous (export/import)",2015,2015,1000 US$,5210.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5916,Export Quantity,1651,"Industrial roundwood, coniferous (export/import)",2015,2015,m3,5577.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5922,Export Value,1651,"Industrial roundwood, coniferous (export/import)",2015,2015,1000 US$,296.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5616,Import Quantity,1657,"Industrial roundwood, non-coniferous tropical (export/import)",2015,2015,m3,128.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5622,Import Value,1657,"Industrial roundwood, non-coniferous tropical (export/import)",2015,2015,1000 US$,91.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5916,Export Quantity,1657,"Industrial roundwood, non-coniferous tropical (export/import)",2015,2015,m3,5695.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5922,Export Value,1657,"Industrial roundwood, non-coniferous tropical (export/import)",2015,2015,1000 US$,1768.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5616,Import Quantity,1670,"Industrial roundwood, non-coniferous non-tropical (export/import)",2015,2015,m3,188.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5622,Import Value,1670,"Industrial roundwood, non-coniferous non-tropical (export/import)",2015,2015,1000 US$,1130.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5916,Export Quantity,1670,"Industrial roundwood, non-coniferous non-tropical (export/import)",2015,2015,m3,66734.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5922,Export Value,1670,"Industrial roundwood, non-coniferous non-tropical (export/import)",2015,2015,1000 US$,7274.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5516,Production,1601,"Sawlogs and veneer logs, coniferous",2015,2015,m3,4124000.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1604,"Sawlogs and veneer logs, non-coniferous",2015,2015,m3,426000.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1602,"Pulpwood, round and split, coniferous (production)",2015,2015,m3,365000.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1603,"Pulpwood, round and split, non-coniferous (production)",2015,2015,m3,49000.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1623,"Other industrial roundwood, coniferous (production)",2015,2015,m3,252000.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5516,Production,1626,"Other industrial roundwood, non-coniferous (production)",2015,2015,m3,137000.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5510,Production,1630,Wood charcoal,2015,2015,tonnes,82000.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5610,Import Quantity,1630,Wood charcoal,2015,2015,tonnes,1188.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5622,Import Value,1630,Wood charcoal,2015,2015,1000 US$,947.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5910,Export Quantity,1630,Wood charcoal,2015,2015,tonnes,92583.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5922,Export Value,1630,Wood charcoal,2015,2015,1000 US$,32740.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5516,Production,1619,Wood chips and particles,2015,2015,m3,254000.0,F,FAO estimate
FO,Forestry Production and Trade,138,Mexico,5616,Import Quantity,1619,Wood chips and particles,2015,2015,m3,305.0,,Official data
FO,Forestry Production and Trade,138,Mexico,5622,Import Value,1619,Wood chips and particles,2015,2015,1000 US$,243.0,,Official data
